Average of DK1,Average of DK2,Average of EE,Average of FI,Average of LT,Average of LV,Average of NO,Average of SE
1811.115068,1212.852055,718.5260274,8584.816438,828.0410959,615.1863014,13089.83562,13262.76164
1739.717808,1149.479452,698.4109589,8375.210959,803.2630137,595.5643836,12761.22466,12985.70411
1707.263014,1119.093151,688.0849315,8288.306849,793.1945205,585.769863,12596.43836,12866.90137
1705.605479,1116.682192,686.5890411,8293.438356,794.0493151,586.1068493,12563.56986,12845.67397
1732.276712,1126.726027,705.3671233,8503.454795,828.7863014,607.7342466,12622.06027,12895.98082
1835.863014,1185.158904,783.830137,9116.052055,964.4931507,687.5753425,12891.44384,13330.50411
2119.635616,1346.052055,885.739726,9511.882192,1102.024658,793.0876712,13746.20548,14569.43836
2449.808219,1540.723288,973.9342466,9747.20274,1210.027397,889.3068493,14826.8411,15862.64932
2610.317808,1654.123288,1015.769863,9849.046575,1266.693151,945.139726,15272.36712,16380.39452
2653.441096,1720.323288,1026.849315,9878.926027,1280.632877,962.109589,15395.50685,16596.30959
2711.024658,1761.709589,1025.547945,9895.013699,1277.263014,955.4356164,15462.86027,16768.76712
2705.232877,1762.454795,1012.564384,9888.950685,1259.09863,929.0273973,15363.87945,16746.41096
2638.512329,1752.364384,1024.868493,9811.156164,1264.613699,941.939726,15245.01644,16602.72329
2624.860274,1739.830137,1015.30137,9736.071233,1252.69863,936.8657534,15149.05753,16461.28219
2573.920548,1714.106849,1011.893151,9746.70137,1240.723288,928.0849315,15106.93699,16352.96986
2501.246575,1689.243836,1008.230137,9785.810959,1235.945205,930.2465753,15086.48219,16403.64658
2529.271233,1721.106849,1003.005479,9854.679452,1241.663014,926.7643836,15130.93699,16452.04932
2699.950685,1827.065753,997.4684932,9887.564384,1246.780822,928.9671233,15131.34795,16658.13699
2648.49589,1817.358904,986.7506849,9958.821918,1241.860274,918.9315068,15101.24932,16542.95068
2506.205479,1728.969863,967.0219178,9879.10411,1224.734247,908.4273973,15029.09315,16307.67123
2370.49589,1632.528767,936.7013699,9542.210959,1179.846575,876.3890411,14870.00548,15907.40274
2252.136986,1549.663014,879.430137,9578.610959,1075.282192,810.9917808,14622.68767,15352.28767
2109.139726,1437.035616,811.2465753,9405.150685,958.4931507,730.5013699,14188.4,14613.69041
1942.569863,1310.509589,752.4465753,8950.161644,874.6356164,658.4767123,13615.56986,13839.07123