fi;lt;lv;no;se
3768000;10582;8707;53881000;21425000
3704000;10900;8801;51076000;20255000
3591000;9412;7974;48377000;18972000
3459000;9279;7889;45710000;17688000
3332000;9751;6859;43538000;16616000
3222000;9319;7338;41732000;15595000
3037000;10417;8089;39740000;14564000
2895000;12097;8502;38121000;13544000
2792000;11166;7265;36595000;12640000
2716000;11929;6196;35204000;12023000
2608000;10691;7238;34311000;11290000
2514000;9982;4752;32343000;10258000
2391000;8718;5808;30209000;9228000
2317000;9035;4793;29359000;8618000
2345000;8670;5234;28311000;8285000
2477000;8419;5159;28450000;8568000
2625000;9626;2297;28661000;8992000
2684000;12022;2661;28251000;9049000
2983000;9865;2415;29661000;9993000
3573000;10721;2273;37221000;13990000
3838000;9278;2688;42648000;17048000
3897000;10153;2469;48433000;19560000
3952000;9952;2157;53515000;21648000
3952000;9624;4662;56286000;22267000
3894000;9817;7760;57003000;22437000
3905000;10064;7200;58732000;23042000
3862000;8351;3190;62821000;23835000
3846000;9994;6593;64394000;24609000
3752000;10926;7452;64806000;24793000
3747000;7482;8349;65147000;24832000
3671000;9612;8482;65754000;24946000
3639000;9399;7058;66330000;24819000
3638000;9198;7383;66711000;25140000
3629000;9308;7856;66309000;25000000
3563000;10275;8291;66054000;24523000
3499000;9715;8241;65951000;24126000
3408000;9642;8311;64615000;23606000
3423000;10027;5643;64405000;23403000
3449000;9165;8194;64449000;23427000
3449000;11170;7945;65237000;23518000
3391000;9685;7889;64640000;23401000
3327000;9314;7889;66817000;23627000
3400000;9210;8071;69426000;24152000
3503000;10933;8513;69011000;24114000
3615000;10218;7783;68133000;23917000
3608000;11084;8451;66210000;23240000
3570000;8753;8521;64331000;22655000
3539000;9384;7289;62297000;22092000
3527000;10272;7919;60443000;21497000
3504000;10292;7460;58655000;20901000
3451000;8297;6376;56579000;20125000
3455000;11946;7503;55533000;19854000